date,Budapest 01,Budapest 02,Budapest 03,Budapest 04,Budapest 05,Budapest 06,Budapest 07,Budapest 08,Budapest 09,Budapest 10,Budapest 11,Budapest 12,Budapest 13,Budapest 14,Budapest 15,Budapest 16,Budapest 17,Budapest 18,Budapest 19,Budapest 20,Budapest 21,Budapest 22,Budapest 23
1986,37275,102494,138796,93247,46770,63900,83696,94936,78399,91346,161472,76766,134042,138601,96539,67094,71936,96290,74921,94582,84478,50650,0
1987,37086,102279,139629,95997,46325,63128,82612,93950,78030,92016,163332,76294,132817,136967,95626,67837,72143,95438,75336,93372,84911,50727,0
1988,36641,102065,141331,100608,46027,62229,81520,93574,76527,91629,165021,75797,130970,135426,95104,68766,72218,94863,74962,91653,86550,50715,0
1989,36302,101518,141685,104247,45809,61715,80841,92989,76024,90714,163996,75182,130115,134496,93838,68843,72302,94510,74508,90375,88851,50709,0
1990,35956,101147,143622,106875,45435,61313,80665,92234,75446,90047,162452,74526,130249,133715,92875,68688,72680,95316,73916,89123,88931,50827,0
1991,35305,100441,142862,109509,44995,60924,79844,90966,74746,89878,160343,73454,129555,131896,92041,68308,74478,96954,72705,88072,88507,51036,0
1992,34761,99844,142441,111799,44164,60647,79071,91833,74360,89995,158319,72729,129348,132420,91579,68547,76085,97910,71776,87933,88188,51155,0
1993,34346,99250,141909,112027,43199,60092,78395,91757,73606,89971,156744,71985,128259,131647,91441,69135,77097,98836,70648,88725,87659,51737,0
1994,33215,98148,140292,111967,41820,58869,77472,91223,72440,89151,153294,71211,126482,130807,90945,69369,77608,99605,69736,89030,86976,52083,0
1995,32589,96997,139113,111071,40206,57138,75971,89407,70720,87777,151144,69862,123791,129721,90259,69986,78189,100013,69422,68528,86222,52322,20450
1996,31832,95951,138058,110012,38654,55252,74254,88239,69422,86520,148766,68688,121425,127984,89527,70339,78620,99894,68829,68174,85435,52356,20769
1997,30967,94514,136815,109038,37688,53406,72648,86764,68222,85313,146087,67586,119109,126037,88879,70647,78971,99356,67988,67830,84663,52335,20905
1998,29967,92383,134263,107095,35925,50743,69989,83420,66404,83248,143478,65867,116048,123206,87638,70428,78903,98112,66392,66826,83222,51973,20854
1999,29111,90447,133146,106080,34375,48355,67859,82193,65218,82006,141550,64791,113725,120884,86965,70664,79230,97522,65676,66349,82518,51837,20982
2000,28231,88987,131415,104849,32630,46514,65357,81204,63363,80921,138977,63434,111166,118411,86755,70481,79614,97265,65191,65957,81746,51897,21222
2001,27377,87515,129576,103434,31510,44805,63237,79196,61955,79243,136230,62002,108545,116260,85752,70671,79862,96710,64006,65369,80878,51772,21400
2002,27121,86226,127478,102141,30668,43702,61275,77175,60392,77948,134015,61025,106673,114679,84548,70267,79788,95902,63339,64776,79928,51722,21305
2003,27014,85880,128584,102893,30223,43246,61488,78054,60066,77796,133348,60746,106373,114677,85191,70878,80620,96760,63764,65119,80333,52303,21516
2004,26720,85175,127201,101893,29289,41794,59717,76374,58775,76366,131587,59951,105170,113000,84587,70696,81027,96548,62875,65087,79290,52213,21592
2005,26433,84943,124868,100105,28148,39824,57091,73430,57085,74790,129437,59443,103500,110600,82894,70146,80463,95698,61311,64121,77179,51893,21480
2006,26507,85671,125963,100872,28001,39755,59877,74362,57220,75470,129616,59756,104982,111544,83458,70536,81430,97167,61499,64539,77728,52283,21873
2007,26482,85724,125389,100683,27411,38596,58457,73072,56715,74967,129847,59460,105436,111786,82934,70686,82420,97625,60814,64576,77259,52419,21765
2008,26425,86464,125621,100807,27117,38085,57663,72924,56762,75622,131158,59322,107091,113321,82689,71444,84229,98651,60799,65019,77594,53148,22050
2009,26380,86865,125194,100453,26973,37539,56857,72179,56091,75760,131599,59402,107769,114142,82285,71809,85684,99266,60578,65131,77700,53380,21987
2010,26257,87009,124930,99961,26738,37227,57119,71633,55844,75870,132003,59378,108490,114507,81702,71971,86298,99772,60304,65035,77301,53658,21935
2011,26052,87120,124518,99639,26604,36981,56259,71147,55407,75698,134097,59154,109374,115217,81272,72099,86759,100096,60106,64816,76919,53639,21927
2012,25900,87216,124611,99440,26484,36913,55733,71015,55093,75590,134552,58903,110198,115430,80872,71963,86964,100398,60036,64609,76807,53792,21907
2013,25751,87358,124542,99288,26300,36940,55404,71160,55472,75354,134375,58893,110963,115643,80548,71939,87137,100602,60110,64463,76421,54104,21847
2014,25910,87963,125167,99369,26270,37195,55113,71247,55446,75366,134388,59029,112436,115696,80267,72134,87476,100738,60083,64409,76195,54228,22281
2015,26117,88058,125598,99800,26403,37533,54688,72699,55384,75397,134580,59212,113586,115963,80234,72368,87752,100823,60319,64607,76241,54452,22835
2016,26311,88128,127222,99789,26166,37185,53868,72587,54922,75028,134613,59066,113532,115925,80247,72636,88114,100919,60230,64402,76137,54721,23524
2017,26406,87982,126930,99173,25857,37003,52958,72069,54978,74451,133408,58417,113426,115036,79866,72827,88349,100688,59840,64974,75495,54675,22559
2018,26228,87793,126539,98291,25877,37122,52479,71756,54576,73831,132543,58109,114582,114862,79602,73239,88250,100719,59283,65002,75045,54958,22365
